variable,target,lag,pearson_correlation,pearson_pvalue,spearman_correlation,spearman_pvalue,sample_size
taker_buy_sell_ratio,price_direction_1d,3,0.011441247230812718,0.7098387273740446,0.021881143305319692,0.4766858332413846,1060
taker_buy_sell_ratio,price_direction_1d,7,0.05090774267315726,0.09824568330002632,0.049059488534244515,0.11108932317181924,1056
taker_buy_sell_ratio,price_direction_7d,0,0.026862174145270756,0.38161025524088327,0.02321821305513789,0.44952300092504893,1063
taker_buy_sell_ratio,price_direction_7d,1,0.04474768876738189,0.14504307672601457,0.0421445383079788,0.1699349207422446,1062
taker_buy_sell_ratio,price_direction_7d,2,0.05436673489325036,0.07670896193358219,0.04851437041015375,0.11426139717480861,1061
taker_buy_sell_ratio,price_direction_7d,3,0.039931553525515154,0.19392286572441306,0.03346457417191892,0.2763537155075836,1060
taker_buy_sell_ratio,price_direction_7d,7,0.024232171037343576,0.431495427298127,0.03964702403144601,0.19797021466403086,1056
top_trader_long_short_ratio,price_static,0,0.48070635239764603,1.4659710576634368e-62,0.4835975520151866,2.1215442506409694e-63,1063
top_trader_long_short_ratio,price_static,1,0.480282688426643,2.2162126186725684e-62,0.4827726490089435,4.215144985518576e-63,1062
top_trader_long_short_ratio,price_static,2,0.47828902453072036,9.442302787931183e-62,0.480700503686941,1.9157433534929537e-62,1061
top_trader_long_short_ratio,price_static,3,0.4762299903649953,4.152052329353017e-61,0.47809059845569335,1.225713350121173e-61,1060
top_trader_long_short_ratio,price_static,7,0.4686744263282475,8.97328697882393e-59,0.4664672287600809,3.627136494232882e-58,1056
top_trader_long_short_ratio,price_change_1d,0,-0.009193251330833565,0.7646443947383624,0.003188028915954755,0.9173126324890204,1063
top_trader_long_short_ratio,price_change_1d,1,-0.03349225183696317,0.27550285863082846,-0.01787691224131872,0.5606075394467611,1062
top_trader_long_short_ratio,price_change_1d,2,-0.04182279850578271,0.1734240863797591,-0.02756559905352839,0.3697156316437188,1061
top_trader_long_short_ratio,price_change_1d,3,-0.05321588524119353,0.08331512390664961,-0.039513136685371396,0.19863903866470137,1060
top_trader_long_short_ratio,price_change_1d,7,-0.021459838498880206,0.4860428258788993,-0.010780069664364093,0.7264091888564179,1056
top_trader_long_short_ratio,price_change_7d,0,-0.0976890187382745,0.0014657633051907164,-0.05540570029056266,0.07163516222895686,1058
top_trader_long_short_ratio,price_change_7d,1,-0.10323072904142958,0.0007760408260103816,-0.0645072365959887,0.03599958559924085,1057
top_trader_long_short_ratio,price_change_7d,2,-0.09764153020841593,0.0014890464904619247,-0.06154798028313526,0.04554349923852509,1056
top_trader_long_short_ratio,price_change_7d,3,-0.08678749923724424,0.004788817094718966,-0.05237695990300425,0.08905682510726771,1055
top_trader_long_short_ratio,price_change_7d,7,-0.02166353794186894,0.482953830682988,0.022562718061541236,0.46497080357577436,1051
top_trader_long_short_ratio,price_change_30d,0,-0.020819424468083884,0.503461349142074,-0.026553874729332717,0.39344089404503424,1035
top_trader_long_short_ratio,price_change_30d,1,-0.029833285974537133,0.33787710801045184,-0.03557875081679659,0.2530204209841687,1034
