date,upbit_price,upbit_open,upbit_high,upbit_low,binance_price,binance_open,binance_high,binance_low,bitget_price,bitget_open,bitget_high,bitget_low,krw_usd
2025-10-05,177024000.0,174986000.0,178651000.0,174270000.0,123482.31,122390.99,125708.42,122136.0,125007.01,122829.67,125439.04,122325.42,1402.4125000000001
2025-10-06,177536000.0,177002000.0,178790000.0,176500000.0,124658.54,123482.32,126199.63,123084.0,121856.91,125007.01,126200.0,121194.74,1402.15625
2025-10-07,175460000.0,177562000.0,178400000.0,174385000.0,121332.95,124658.54,125126.0,120574.94,122199.04,121856.91,123368.21,120608.7,1402.028125
2025-10-08,178011000.0,175490000.0,178617000.0,175460000.0,123306.0,121332.96,124197.25,121066.14,121167.13,122199.04,124192.5,120689.02,1401.9640625000002
2025-10-09,177616000.0,177853000.0,179869000.0,176496000.0,121662.4,123306.01,123762.94,119651.47,119030.54,121167.13,122533.86,118500.0,1401.9320312500001
2025-10-10,172257000.0,177616000.0,178151000.0,165000000.0,112774.5,121662.41,122550.0,102000.0,111800.6,119030.54,119453.48,102173.61,1401.9
2025-10-11,170390000.0,172180000.0,173937000.0,166500000.0,110644.4,112774.49,113322.39,109561.59,113197.48,111800.6,113737.69,109570.07,1411.2
2025-10-12,173833000.0,170390000.0,174909000.0,168132000.0,114958.8,110644.4,115770.0,109565.06,114330.74,113197.48,115985.92,113197.48,1415.85
2025-10-13,171680000.0,173833000.0,175337000.0,170778000.0,115166.0,114958.81,115963.81,113616.5,112890.8,114330.74,115882.37,109865.58,1420.5
2025-10-14,170070000.0,171695000.0,172444000.0,168000000.0,113028.14,115166.0,115409.96,109866.0,110797.01,112890.8,113613.18,110381.08,1427.7
2025-10-15,168539000.0,170109000.0,170740000.0,168001000.0,110763.28,113028.13,113612.35,110164.0,108570.0,110797.01,111992.27,108372.63,1428.4
2025-10-16,165290000.0,168642000.0,170124000.0,164858000.0,108194.28,110763.28,111982.45,107427.0,106794.2,108570.0,109273.03,103531.72,1424.4
2025-10-17,163639000.0,165291000.0,166565000.0,159671000.0,106431.68,108194.27,109240.0,103528.23,106935.41,106794.2,107580.14,106075.66,1419.1
2025-10-18,163631000.0,163639000.0,164998000.0,162852000.0,107185.01,106431.68,107499.0,106322.2,108489.75,106935.41,108618.18,106121.6,1419.3
