symbol,date,open,high,low,close,volume,quote_volume,atr,rsi,upper_shadow,lower_shadow,upper_shadow_ratio,lower_shadow_ratio,weekly_range,weekly_range_pct,body_size,body_size_pct,volatility_ratio
ETHUSDT,2024-06-02,3826.47,3977.0,3702.58,3780.91,2008150.8132,7679253180.896152,507.75928571428574,60.21902274631649,,,,,274.4200000000001,7.411588676004302,,,0.13429552295989214
BTCUSDT,2024-06-02,68507.67,70687.56,66670.0,67765.63,158352.25614,10805470652.432423,7736.777857142857,68.91511588188561,,,,,4017.5599999999977,6.0260386980650935,,,0.11416964406798633
BTCUSDT,2024-06-09,67765.62,71997.02,67612.48,69648.14,165061.19141,11582063276.178585,7114.347857142858,59.93372217862417,,,,,4384.540000000008,6.484808721703461,,,0.10214698995756179
ETHUSDT,2024-06-09,3780.92,3887.47,3600.0,3706.4,1598380.5436,6034179619.734213,493.5628571428571,53.68087105584874,,,,,287.4699999999998,7.985277777777772,,,0.13316502728870525
BTCUSDT,2024-06-16,69648.15,70195.94,65078.0,66676.87,174066.07718,11762729785.61039,6695.272142857144,46.20395167063702,,,,,5117.940000000002,7.864316666154464,,,0.1004137138239564
ETHUSDT,2024-06-16,3706.4,3713.67,3362.26,3624.41,2002012.3791,7087849909.857178,461.96714285714285,45.22551304217094,,,,,351.40999999999985,10.451601006465884,,,0.1274599570294594
ETHUSDT,2024-06-23,3624.41,3638.37,3355.0,3420.91,2029677.9377,7112323793.953529,433.4992857142857,45.745797121284696,,,,,283.3699999999999,8.446199701937404,,,0.12672045909254723
BTCUSDT,2024-06-23,66676.86,67298.81,63178.32,63210.01,155589.33133,10122248450.960327,6329.307142857144,42.127805629255235,,,,,4120.489999999998,6.521999951882225,,,0.10013140549822953
BTCUSDT,2024-06-30,63210.01,63369.8,58402.0,62772.01,177837.60164,10895644844.968416,6099.792857142858,43.10383514269127,,,,,4967.800000000003,8.506215540563684,,,0.09717376991979161
ETHUSDT,2024-06-30,3420.91,3487.7,3240.0,3438.16,1642583.3763,5547126323.627669,409.15928571428566,49.657832423327605,,,,,247.69999999999982,7.6450617283950555,,,0.11900530682524539
BTCUSDT,2024-07-07,62772.01,63861.76,53485.93,55857.81,251967.61048,14670868704.863087,6456.317857142859,27.981710579892138,,,,,10375.830000000002,19.399176568491942,,,0.11558487268195547
ETHUSDT,2024-07-07,3438.16,3524.94,2810.0,2931.0,2404392.0416,7498059619.356597,441.74499999999995,37.128564786950705,,,,,714.94,25.44270462633452,,,0.1507147731149778
BTCUSDT,2024-07-14,55857.81,61420.69,54260.16,60797.91,190723.74928,11007710725.574991,6482.415714285717,38.745964309804314,,,,,7160.529999999999,13.196662155069205,,,0.10662234465437573
ETHUSDT,2024-07-14,2930.99,3268.72,2822.8,3245.08,1811337.9883,5573493038.890996,441.9421428571428,46.39162094074611,,,,,445.9199999999996,15.797080912569067,,,0.13618836603632048
BTCUSDT,2024-07-21,60797.91,68366.66,60632.3,68165.34,205198.52303,13292211903.247015,6167.91142857143,53.00102851306739,,,,,7734.360000000001,12.756171215672174,,,0.09048456926308049
