symbol,date,close,volume,quote_volume,open,high,low
BTCUSDT,2025-07-06,109203.84,6447.607,700733299.5112199,108198.12,109700.0,107800.01
BTCUSDT,2025-07-07,108262.94,9405.37601,1020848316.0537041,109203.85,109700.0,107513.2
ETHUSDT,2025-07-07,2542.29,315707.5272,805370144.473485,2570.35,2590.57,2512.0
ETHUSDT,2025-07-08,2615.25,370915.7321,957180096.783727,2542.3,2628.21,2523.59
BTCUSDT,2025-07-08,108922.98,9216.0208,1000112813.4398943,108262.94,109216.56,107429.57
ETHUSDT,2025-07-09,2768.74,686119.3772,1844561572.906599,2615.25,2795.74,2589.78
BTCUSDT,2025-07-09,111233.99,17282.2865,1902054744.194924,108922.99,111999.79,108324.53
BTCUSDT,2025-07-10,116010.0,24883.450665,2826460280.4452233,111234.0,116868.0,110500.0
ETHUSDT,2025-07-10,2951.29,951896.07,2707997922.265638,2768.74,3000.0,2755.5
BTCUSDT,2025-07-11,117527.66,25873.521148,3039521803.027247,116010.01,118869.98,115222.22
ETHUSDT,2025-07-11,2958.22,906839.1689,2704484897.471723,2951.29,3040.15,2913.75
BTCUSDT,2025-07-12,117420.0,8446.60437,993093353.4068904,117527.66,118200.0,116900.05
ETHUSDT,2025-07-12,2943.28,348884.8877,1027324169.831482,2958.21,2979.78,2903.85
ETHUSDT,2025-07-13,2972.03,357333.5016,1063507989.977405,2943.29,3020.31,2936.49
BTCUSDT,2025-07-13,119086.64,9550.792947,1132096857.0116916,117420.0,119488.0,117224.79
BTCUSDT,2025-07-14,119841.18,27269.348877,3299746181.0770736,119086.65,123218.0,118905.18
ETHUSDT,2025-07-14,3013.62,815552.6496,2470137078.017986,2972.03,3083.0,2962.81
BTCUSDT,2025-07-15,117758.09,32018.46083,3755258445.553272,119841.17,119940.83,115736.92
ETHUSDT,2025-07-15,3137.89,863583.7377,2610352115.953149,3013.61,3144.14,2932.46
ETHUSDT,2025-07-16,3371.35,1135950.5831,3699155067.268267,3137.9,3425.0,3101.0
BTCUSDT,2025-07-16,118630.43,17039.90851,2023850383.7234874,117758.08,120063.84,117017.29
ETHUSDT,2025-07-17,3476.87,974065.8264,3331779733.255004,3371.35,3523.44,3310.77
