symbol,date,open,high,low,close,volume,quote_volume
BTCUSDT,2022-11-27,16462.86,16597.25,16403.53,16429.75,2944.144089,48674142.78133542
ETHUSDT,2022-11-28,1193.67,1199.51,1151.0,1168.23,80968.24823,94948173.7441316
BTCUSDT,2022-11-28,16429.75,16488.7,16000.0,16217.36,6637.168156,107616102.86283045
ETHUSDT,2022-11-29,1168.23,1227.04,1159.0,1216.39,85216.40025,102859777.5829386
BTCUSDT,2022-11-29,16217.36,16546.56,16101.0,16442.15,4903.028171,80463891.34127699
ETHUSDT,2022-11-30,1216.39,1310.29,1212.29,1295.28,113044.65089,143938701.2745266
BTCUSDT,2022-11-30,16442.15,17250.0,16428.42,17163.07,8424.56736,142415424.81879362
BTCUSDT,2022-12-01,17163.07,17317.71,16863.5,16978.95,5679.99979,96937408.82099947
ETHUSDT,2022-12-01,1295.28,1300.0,1262.75,1276.29,65202.39208,83509349.2821821
ETHUSDT,2022-12-02,1276.29,1296.86,1265.11,1294.32,57698.83565,73887708.3428742
BTCUSDT,2022-12-02,16978.95,17102.0,16780.39,17088.59,3675.066924,62308745.77428944
BTCUSDT,2022-12-03,17088.59,17152.9,16861.54,16885.56,1908.132235,32373588.07923883
ETHUSDT,2022-12-03,1294.32,1307.0,1235.72,1240.61,50300.6219,63874567.3475697
BTCUSDT,2022-12-04,16885.56,17200.0,16884.65,17105.45,2839.832396,48389519.34104049
ETHUSDT,2022-12-04,1240.61,1287.0,1239.96,1279.14,51208.10512,64719820.2918968
BTCUSDT,2022-12-05,17105.45,17415.91,16867.67,16963.99,4887.118772,83962928.17381497
ETHUSDT,2022-12-05,1279.14,1304.98,1245.97,1258.95,69862.57709,89595045.229004
ETHUSDT,2022-12-06,1258.95,1274.91,1241.82,1271.31,63345.71622,79574274.3371872
BTCUSDT,2022-12-06,16963.99,17104.08,16904.6,17084.99,3221.637902,54750493.67874591
ETHUSDT,2022-12-07,1271.31,1277.75,1218.88,1231.43,54955.74531,68049351.307768
BTCUSDT,2022-12-07,17084.99,17138.0,16689.0,16836.0,2849.864052,48064245.89152457
ETHUSDT,2022-12-08,1231.43,1292.76,1222.21,1280.22,67764.10466,84793869.5599985
BTCUSDT,2022-12-08,16836.0,17295.05,16730.0,17224.74,3867.291389,65819863.90005246
ETHUSDT,2022-12-09,1280.22,1296.25,1256.28,1263.34,56351.32355,71928708.6393206
BTCUSDT,2022-12-09,17224.74,17343.65,17058.58,17127.74,3186.18431,54758850.19284078
BTCUSDT,2022-12-10,17127.74,17224.04,17091.32,17125.6,1651.503318,28335602.10369769
ETHUSDT,2022-12-10,1263.34,1283.46,1259.46,1266.29,24630.09047,31253009.4130633
BTCUSDT,2022-12-11,17125.6,17267.99,17059.92,17089.8,2009.59148,34471189.11901187
